integer,integer,text,text,text,numeric,numeric,numeric,numeric,numeric,,,,,
year,month,supplier,item_code,item_type,retail_sales,retail_transfers,cost_per_unit,beg_inventory,end_inventory,,,retail_sales_check,year,month
2022,1,Vance Inc,SKU1047,Beer,484.89,175,39.11,14,113,,,TRUE,TRUE,TRUE
2022,1,"Sutton, Rogers and Rodriguez",SKU1108,Beer,450.14,7,38.67,339,437,,,TRUE,TRUE,TRUE
2022,1,Thomas-Campos,SKU1213,Mixer,301.57,44,43.87,185,231,,,TRUE,TRUE,TRUE
2022,1,"Perkins, Turner and Elliott",SKU1219,Spirits,429.92,135,18.95,417,168,,,TRUE,TRUE,TRUE
2022,1,Holt Ltd,SKU1220,Beer,260.61,170,38.9,33,267,,,TRUE,TRUE,TRUE
2022,1,Padilla-Marquez,SKU1234,Beer,359.59,193,23.67,207,36,,,TRUE,TRUE,TRUE
2022,1,Mccoy Ltd,SKU1346,Beer,299.05,62,12.85,297,69,,,TRUE,TRUE,TRUE
2022,1,BAKER GROUP,SKU1356,Wine  ,429.31,146,47.67,265,10,,,TRUE,TRUE,TRUE
2022,1,Padilla-Marquez,SKU1422,Cider,326.82,175,34.53,87,286,,,TRUE,TRUE,TRUE
2022,1,Moore-Williams,SKU1449,Wine  ,116.85,40,6.37,446,52,,,TRUE,TRUE,TRUE
2022,1,Cobb Group,SKU1536,Beer  ,139.3,86,7.14,141,245,,,TRUE,TRUE,TRUE
2022,1,Rodriguez-Allen,SKU1548,Beer,46.73,193,47.28,148,442,,,TRUE,TRUE,TRUE
2022,1,Johnson Group,SKU1575,Spirits,,6,33.92,491,201,,,FALSE,TRUE,TRUE
2022,1,Mejia-Holmes,SKU1576,Spirits,314.61,49,14.79,271,291,,,TRUE,TRUE,TRUE
2022,1,Lambert Inc,SKU1640,Beer,9.15,5,23.89,453,434,,,TRUE,TRUE,TRUE
2022,1,"Allen, Ramirez and Rodriguez",SKU1647,Mixer,216.37,89,11.83,127,288,,,TRUE,TRUE,TRUE
2022,1,Cobb Group,SKU1687,Mixer,,55,32.72,247,349,,,FALSE,TRUE,TRUE
2022,1,Contreras and Sons,SKU1689,Cider,138.85,6,6.46,484,199,,,TRUE,TRUE,TRUE
2022,1,Rodriguez-Allen,SKU1723,Wine,119.21,147,41.78,250,83,,,TRUE,TRUE,TRUE
2022,1,"Moore, Noble and Wallace",SKU1767,Mixer  ,,62,41.09,183,145,,,FALSE,TRUE,TRUE
2022,1,Martinez-Marquez,SKU1841,Beer,183.53,156,N/A,16,113,,,TRUE,TRUE,TRUE
2022,1,"Anderson, Williams and Scott",SKU1882,Cider,104.72,0,48.72,295,347,,,TRUE,TRUE,TRUE
2022,1,Mejia-Holmes,SKU1891,Mixer,396.32,186,33.98,41,159,,,TRUE,TRUE,TRUE
2022,1,"Perkins, Turner and Elliott",SKU1914,Cider,327.16,152,23.75,3,118,,,TRUE,TRUE,TRUE
2022,1,Douglas PLC,SKU1915,Spirits,328.86,47,5.72,444,413,,,TRUE,TRUE,TRUE
2022,1,Hayes-Burke,SKU1927,Wine,,185,19.45,284,222,,,FALSE,TRUE,TRUE
2022,1,Baxter LLC,SKU1952,Spirits,176.26,8,41.49,90,265,,,TRUE,TRUE,TRUE
2022,1,"Reed, Harris and Wilson",SKU1963,Cider,353.69,37,26.75,245,384,,,TRUE,TRUE,TRUE
2022,1,Graham Inc,SKU1975,Beer,215.58,153,15.68,323,101,,,TRUE,TRUE,TRUE
2022,1,Cobb Group,SKU1981,Beer  ,344.7,33,37.8,212,317,,,TRUE,TRUE,TRUE
2022,1,"Peterson, Miles and Howard",SKU2029,Wine,290.16,56,14.07,249,14,,,TRUE,TRUE,TRUE
2022,1,"Allen, Ramirez and Rodriguez",SKU2036,Beer,173.58,37,27.43,378,297,,,TRUE,TRUE,TRUE
2022,1,"Strong, Elliott and Parsons",SKU2056,Cider,362.21,42,7.67,489,9,,,TRUE,TRUE,TRUE
2022,1,Baxter LLC,SKU2082,Cider  ,79.88,81,,313,140,,,TRUE,TRUE,TRUE
2022,1,"Tate, Callahan and Ford",SKU2087,Mixer,286.32,186,11.7,493,50,,,TRUE,TRUE,TRUE
2022,1,"Mcknight, Lopez and Wilson",SKU2111,Cider,383.49,167,5.36,140,358,,,TRUE,TRUE,TRUE
2022,1,Cobb Group,SKU2133,Mixer,445.52,153,39.64,286,79,,,TRUE,TRUE,TRUE
2022,1,Glover-Johnson,SKU2141,Mixer,213.06,177,19.06,222,461,,,TRUE,TRUE,TRUE
2022,1,Romero Inc,SKU2158,Beer,294.51,138,21.11,468,249,,,TRUE,TRUE,TRUE
2022,1,"ANDERSON, WILLIAMS AND SCOTT",SKU2161,Mixer,220.77,85,29.6,18,123,,,TRUE,TRUE,TRUE
2022,1,Martinez-Marquez,SKU2190,Beer,394.95,174,10.53,235,481,,,TRUE,TRUE,TRUE
2022,1,Moore-Williams,SKU2196,Spirits,392.41,195,30.5,77,246,,,TRUE,TRUE,TRUE
2022,1,"Martinez, Fry and Wallace",SKU2207,Cider,480.15,116,49.73,233,39,,,TRUE,TRUE,TRUE
2022,1,"Martinez, Fry and Wallace",SKU2222,Mixer,92.69,152,23.63,111,160,,,TRUE,TRUE,TRUE
2022,1,Romero Inc,SKU2224,Mixer,292.66,129,36.02,128,469,,,TRUE,TRUE,TRUE
2022,1,Vance Inc,SKU2248,Mixer,379.74,170,14.68,342,350,,,TRUE,TRUE,TRUE
2022,1,Holt Ltd,SKU2260,Cider,161.74,80,8.02,485,62,,,TRUE,TRUE,TRUE
2022,1,Baker Group,SKU2261,Wine,277.66,124,9.36,128,277,,,TRUE,TRUE,TRUE
2022,1,Patel Group,SKU2273,Wine,276.04,193,7.39,366,452,,,TRUE,TRUE,TRUE
2022,1,Bauer LLC,SKU2316,Mixer  ,342.49,73,7.6,1,87,,,TRUE,TRUE,TRUE
2022,1,Mccoy Ltd,SKU2357,Mixer,455.57,110,17.64,24,54,,,TRUE,TRUE,TRUE
2022,1,Padilla-Marquez,SKU2373,Beer,485.21,157,41.61,74,303,,,TRUE,TRUE,TRUE
2022,1,Martinez-Marquez,SKU2388,Cider,199.31,156,10.88,363,227,,,TRUE,TRUE,TRUE
