year,month,supplier,item_code,item_type,retail_sales,retail_transfers,cost_per_unit,beg_inventory,end_inventory
2022,1,Vance Inc,SKU1047,Beer,123.0,175,8.2,285,113
2022,1,"Sutton, Rogers and Rodriguez",SKU1108,Beer,99.92,7,12.49,339,437
2022,1,Thomas-Campos,SKU1213,Mixer,182.12,44,6.28,185,231
2022,1,"Perkins, Turner and Elliott",SKU1219,Spirits,1026.19,135,54.01,417,168
2022,1,Holt Ltd,SKU1220,Beer,63.12,170,10.52,202,267
2022,1,Padilla-Marquez,SKU1234,Beer,158.56,193,9.91,207,471
2022,1,Mccoy Ltd,SKU1346,Beer,104.76,62,11.64,297,69
2022,1,BAKER GROUP,SKU1356,Wine  ,546.28,146,19.51,265,294
2022,1,Padilla-Marquez,SKU1422,Cider,92.8,175,5.8,87,286
2022,1,Moore-Williams,SKU1449,Wine  ,631.04,40,21.76,446,52
2022,1,Cobb Group,SKU1536,Beer  ,182.39,86,14.03,141,245
2022,1,Rodriguez-Allen,SKU1548,Beer,99.19,193,14.17,148,442
2022,1,Johnson Group,SKU1575,Spirits,587.65,6,25.55,491,201
2022,1,Mejia-Holmes,SKU1576,Spirits,615.48,49,51.29,271,291
2022,1,Lambert Inc,SKU1640,Beer,317.52,5,11.76,453,434
2022,1,"Allen, Ramirez and Rodriguez",SKU1647,Mixer,203.58,89,7.83,127,288
2022,1,Cobb Group,SKU1687,Mixer,122.88,55,5.12,247,349
2022,1,Contreras and Sons,SKU1689,Cider,65.12,6,5.92,484,199
2022,1,Rodriguez-Allen,SKU1723,Wine,267.72,147,11.64,250,83
2022,1,"Moore, Noble and Wallace",SKU1767,Mixer  ,180.72,62,7.53,183,145
2022,1,Martinez-Marquez,SKU1841,Beer,279.24,156,10.74,160,113
2022,1,"Anderson, Williams and Scott",SKU1882,Cider,93.69,0,10.41,295,347
2022,1,Mejia-Holmes,SKU1891,Mixer,176.96,186,6.32,461,159
2022,1,"Perkins, Turner and Elliott",SKU1914,Cider,200.68,152,6.92,469,118
2022,1,Douglas PLC,SKU1915,Spirits,1095.38,47,49.79,444,413
2022,1,Hayes-Burke,SKU1927,Wine,498.12,185,17.79,284,222
2022,1,Baxter LLC,SKU1952,Spirits,542.83,8,28.57,90,265
2022,1,"Reed, Harris and Wilson",SKU1963,Cider,222.6,37,10.6,245,384
2022,1,Graham Inc,SKU1975,Beer,239.25,153,8.25,323,101
2022,1,Cobb Group,SKU1981,Beer  ,229.2,33,9.55,212,317
2022,1,"Peterson, Miles and Howard",SKU2029,Wine,411.84,56,22.88,249,345
2022,1,"Allen, Ramirez and Rodriguez",SKU2036,Beer,225.08,37,13.24,378,297
2022,1,"Strong, Elliott and Parsons",SKU2056,Cider,93.24,42,6.66,489,410
2022,1,Baxter LLC,SKU2082,Cider  ,101.22,81,7.23,313,140
2022,1,"Tate, Callahan and Ford",SKU2087,Mixer,66.0,186,5.5,493,50
2022,1,"Mcknight, Lopez and Wilson",SKU2111,Cider,193.72,167,6.68,140,358
2022,1,Cobb Group,SKU2133,Mixer,110.4,153,7.36,286,79
2022,1,Glover-Johnson,SKU2141,Mixer,110.8,177,5.54,222,461
2022,1,Romero Inc,SKU2158,Beer,174.07,138,13.39,468,249
2022,1,"ANDERSON, WILLIAMS AND SCOTT",SKU2161,Mixer,18.6,85,3.1,335,123
2022,1,Martinez-Marquez,SKU2190,Beer,229.08,174,9.96,235,481
2022,1,Moore-Williams,SKU2196,Spirits,242.94,195,40.49,77,246
2022,1,"Martinez, Fry and Wallace",SKU2207,Cider,238.56,116,8.52,233,291
2022,1,"Martinez, Fry and Wallace",SKU2222,Mixer,87.04,152,5.12,111,160
2022,1,Romero Inc,SKU2224,Mixer,47.46,129,6.78,128,469
2022,1,Vance Inc,SKU2248,Mixer,111.16,170,3.97,342,350
2022,1,Holt Ltd,SKU2260,Cider,319.76,80,11.42,485,62
2022,1,Baker Group,SKU2261,Wine,200.64,124,16.72,128,277
2022,1,Patel Group,SKU2273,Wine,353.25,193,14.13,366,452
2022,1,Bauer LLC,SKU2316,Mixer  ,124.32,73,7.77,332,87
2022,1,Mccoy Ltd,SKU2357,Mixer,43.92,110,5.49,182,54
